	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-14600.0	0.617	32.8	-14700.0	-14600.0	-14600.0	2830.0	0.0121	1.0
theta_mu[1]	1.39	0.00446	0.175	1.09	1.38	1.77	1531.0	0.00653	1.0
theta_mu[2]	1.57	0.00364	0.182	1.24	1.56	1.94	2498.0	0.0107	1.0
theta_mu[3]	0.372	0.000362	0.0278	0.316	0.371	0.426	5909.0	0.0252	1.0
theta_mu[4]	-0.0226	0.000364	0.022	-0.0675	-0.0227	0.0189	3647.0	0.0156	1.0
theta_mu[5]	-1.01	0.00254	0.0969	-1.22	-1.0	-0.838	1460.0	0.00623	1.0
theta_mu[6]	-1.2	0.00216	0.102	-1.41	-1.2	-1.01	2234.0	0.00953	1.0
theta_mu[7]	0.136	0.00176	0.137	-0.175	0.144	0.373	6040.0	0.0258	1.0
theta_pr[1,1]	0.303	0.0066	0.613	-0.713	0.217	1.64	8610.0	0.0367	1.0
theta_pr[1,2]	-0.758	0.00604	0.362	-1.38	-0.798	0.03	3584.0	0.0153	1.0
theta_pr[1,3]	0.615	0.00719	0.652	-0.54	0.563	1.94	8228.0	0.0351	1.0
theta_pr[1,4]	-1.07	0.00536	0.54	-2.06	-1.11	0.0844	10123.0	0.0432	1.0
theta_pr[1,5]	1.42	0.00594	0.703	0.0796	1.38	2.83	13978.0	0.0597	1.0
theta_pr[1,6]	1.06	0.00699	0.745	-0.314	1.03	2.55	11367.0	0.0485	1.0
theta_pr[1,7]	1.39	0.00565	0.686	0.0767	1.36	2.74	14765.0	0.063	1.0
theta_pr[1,8]	0.768	0.0057	0.668	-0.422	0.713	2.18	13759.0	0.0587	1.0
theta_pr[1,9]	-0.606	0.0084	0.61	-1.51	-0.735	0.837	5272.0	0.0225	1.0
theta_pr[1,10]	0.624	0.0051	0.568	-0.431	0.588	1.79	12383.0	0.0528	1.0
theta_pr[1,11]	0.745	0.0069	0.742	-0.554	0.688	2.25	11549.0	0.0493	1.0
theta_pr[1,12]	-0.35	0.00631	0.563	-1.25	-0.441	0.93	7963.0	0.034	1.0
theta_pr[1,13]	-1.18	0.00648	0.577	-2.23	-1.24	0.102	7923.0	0.0338	1.0
theta_pr[1,14]	1.36	0.00557	0.68	0.0378	1.34	2.68	14902.0	0.0636	1.0
theta_pr[1,15]	0.0447	0.00601	0.65	-1.08	-0.0127	1.38	11705.0	0.05	1.0
theta_pr[1,16]	1.37	0.00566	0.67	0.134	1.33	2.7	13992.0	0.0597	1.0
theta_pr[1,17]	0.172	0.00738	0.723	-0.992	0.0765	1.75	9594.0	0.0409	1.0
theta_pr[1,18]	-0.306	0.00778	0.62	-1.22	-0.426	1.14	6345.0	0.0271	1.0
theta_pr[1,19]	0.689	0.00551	0.618	-0.412	0.636	1.96	12575.0	0.0537	1.0
theta_pr[1,20]	0.346	0.00928	0.708	-0.799	0.245	1.89	5831.0	0.0249	1.0
theta_pr[1,21]	-2.01	0.00486	0.397	-2.79	-2.02	-1.22	6681.0	0.0285	1.0
theta_pr[1,22]	0.0872	0.00649	0.482	-0.763	0.042	1.12	5513.0	0.0235	1.0
theta_pr[1,23]	0.281	0.00797	0.661	-0.828	0.203	1.7	6875.0	0.0293	1.0
theta_pr[1,24]	1.32	0.00584	0.72	-0.0597	1.29	2.71	15174.0	0.0648	1.0
theta_pr[1,25]	0.713	0.00606	0.66	-0.445	0.645	2.1	11863.0	0.0506	1.0
theta_pr[1,26]	0.609	0.00642	0.703	-0.656	0.549	2.06	11995.0	0.0512	1.0
theta_pr[1,27]	0.302	0.00671	0.682	-1.05	0.296	1.63	10334.0	0.0441	1.0
theta_pr[1,28]	-0.359	0.00805	0.673	-1.34	-0.501	1.24	6974.0	0.0298	1.0
theta_pr[1,29]	0.893	0.00534	0.603	-0.204	0.851	2.13	12730.0	0.0543	1.0
theta_pr[1,30]	-0.855	0.00541	0.509	-1.71	-0.923	0.305	8866.0	0.0378	1.0
theta_pr[1,31]	-1.24	0.00616	0.551	-2.17	-1.3	0.0413	7994.0	0.0341	1.0
theta_pr[1,32]	-0.962	0.00641	0.622	-2.18	-1.0	0.311	9420.0	0.0402	1.0
theta_pr[1,33]	-0.395	0.00806	0.541	-1.24	-0.489	0.845	4501.0	0.0192	1.0
theta_pr[1,34]	1.06	0.00779	0.721	-0.299	1.03	2.47	8567.0	0.0366	1.0
theta_pr[1,35]	-0.328	0.0118	0.77	-1.36	-0.519	1.47	4272.0	0.0182	1.0
theta_pr[1,36]	1.45	0.00715	0.692	0.131	1.42	2.83	9369.0	0.04	1.0
theta_pr[1,37]	1.5	0.00588	0.655	0.25	1.46	2.81	12422.0	0.053	1.0
theta_pr[1,38]	-1.32	0.00746	0.619	-2.42	-1.38	0.0642	6879.0	0.0294	1.0
theta_pr[1,39]	-1.47	0.00599	0.419	-2.26	-1.49	-0.654	4900.0	0.0209	1.0
theta_pr[1,40]	-0.811	0.00437	0.391	-1.45	-0.857	0.0794	8020.0	0.0342	1.0
theta_pr[1,41]	-0.0784	0.00633	0.628	-1.1	-0.166	1.3	9848.0	0.042	1.0
theta_pr[1,42]	-1.42	0.00765	0.58	-2.41	-1.49	-0.117	5758.0	0.0246	1.0
theta_pr[1,43]	0.588	0.00602	0.647	-0.53	0.526	1.97	11549.0	0.0493	1.0
theta_pr[1,44]	0.347	0.0066	0.608	-0.702	0.285	1.62	8480.0	0.0362	1.0
theta_pr[1,45]	-0.255	0.00668	0.507	-1.08	-0.326	0.892	5771.0	0.0246	1.0
theta_pr[1,46]	-1.18	0.00546	0.423	-1.82	-1.25	-0.171	6004.0	0.0256	1.0
theta_pr[1,47]	-0.503	0.00696	0.661	-1.5	-0.618	1.01	9021.0	0.0385	1.0
theta_pr[1,48]	-1.14	0.00533	0.43	-1.83	-1.2	-0.137	6518.0	0.0278	1.0
theta_pr[1,49]	0.686	0.00643	0.661	-0.528	0.644	2.03	10588.0	0.0452	1.0
theta_pr[1,50]	0.92	0.0084	0.785	-0.547	0.899	2.43	8741.0	0.0373	1.0
theta_pr[1,51]	-0.788	0.00647	0.525	-1.56	-0.883	0.46	6577.0	0.0281	1.0
theta_pr[1,52]	-0.971	0.0262	0.981	-2.08	-1.33	1.61	1399.0	0.00597	1.0
theta_pr[1,53]	-0.397	0.00592	0.562	-1.24	-0.508	0.912	9014.0	0.0385	1.0
theta_pr[1,54]	0.00322	0.00597	0.602	-0.965	-0.0894	1.33	10172.0	0.0434	1.0
theta_pr[1,55]	0.327	0.00759	0.627	-0.741	0.269	1.61	6829.0	0.0291	1.0
theta_pr[1,56]	0.238	0.00996	0.809	-1.08	0.151	1.92	6604.0	0.0282	1.0
theta_pr[1,57]	0.901	0.00532	0.664	-0.336	0.87	2.24	15573.0	0.0665	1.0
theta_pr[1,58]	0.652	0.00543	0.653	-0.532	0.6	2.0	14454.0	0.0617	1.0
theta_pr[1,59]	-0.275	0.00576	0.6	-1.23	-0.354	1.03	10841.0	0.0463	1.0
theta_pr[1,60]	-0.649	0.00784	0.554	-1.44	-0.771	0.688	4988.0	0.0213	1.0
theta_pr[1,61]	-0.93	0.00699	0.551	-1.73	-1.05	0.423	6214.0	0.0265	1.0
theta_pr[1,62]	0.317	0.00589	0.557	-0.657	0.263	1.51	8933.0	0.0381	1.0
theta_pr[1,63]	-0.206	0.00768	0.702	-1.33	-0.281	1.25	8367.0	0.0357	1.0
theta_pr[1,64]	-0.601	0.0112	0.91	-1.87	-0.813	1.45	6645.0	0.0284	1.0
theta_pr[1,65]	0.891	0.00664	0.698	-0.397	0.847	2.31	11044.0	0.0471	1.0
theta_pr[1,66]	0.384	0.00661	0.734	-0.905	0.334	1.9	12331.0	0.0526	1.0
theta_pr[1,67]	0.663	0.00647	0.643	-0.463	0.601	2.02	9893.0	0.0422	1.0
theta_pr[1,68]	0.302	0.00708	0.815	-1.34	0.282	1.9	13264.0	0.0566	1.0
theta_pr[1,69]	-0.455	0.00583	0.392	-1.13	-0.493	0.388	4539.0	0.0194	1.0
theta_pr[1,70]	-0.709	0.00742	0.685	-2.0	-0.757	0.71	8510.0	0.0363	1.0
theta_pr[1,71]	-0.7	0.00615	0.596	-1.72	-0.767	0.589	9393.0	0.0401	1.0
theta_pr[1,72]	-0.567	0.00595	0.558	-1.43	-0.662	0.723	8788.0	0.0375	1.0
theta_pr[1,73]	-1.22	0.00668	0.509	-2.0	-1.3	0.0153	5816.0	0.0248	1.0
theta_pr[1,74]	0.208	0.00866	0.848	-1.3	0.168	1.9	9596.0	0.041	1.0
theta_pr[1,75]	0.579	0.00648	0.664	-0.554	0.507	2.01	10503.0	0.0448	1.0
theta_pr[1,76]	0.049	0.00554	0.581	-0.908	-0.033	1.33	10977.0	0.0468	1.0
theta_pr[1,77]	0.989	0.00547	0.598	-0.131	0.958	2.2	11968.0	0.0511	1.0
theta_pr[1,78]	1.31	0.00645	0.609	0.164	1.29	2.53	8914.0	0.038	1.0
theta_pr[1,79]	1.63	0.00547	0.72	0.231	1.6	3.04	17376.0	0.0742	1.0
theta_pr[1,80]	0.339	0.00842	0.733	-0.881	0.261	1.88	7571.0	0.0323	1.0
theta_pr[1,81]	-0.685	0.00573	0.509	-1.45	-0.775	0.526	7868.0	0.0336	1.0
theta_pr[1,82]	1.71	0.00573	0.711	0.357	1.68	3.11	15416.0	0.0658	1.0
theta_pr[1,83]	0.471	0.00635	0.714	-0.771	0.406	1.96	12621.0	0.0539	1.0
theta_pr[1,84]	0.157	0.00705	0.472	-0.657	0.105	1.19	4495.0	0.0192	1.0
theta_pr[1,85]	-0.645	0.00916	0.577	-1.46	-0.777	0.757	3975.0	0.017	1.0
theta_pr[1,86]	0.0712	0.00504	0.545	-0.835	0.00255	1.27	11678.0	0.0498	1.0
theta_pr[1,87]	-0.935	0.00641	0.52	-1.64	-1.05	0.407	6577.0	0.0281	1.0
theta_pr[1,88]	1.42	0.00578	0.661	0.159	1.39	2.73	13066.0	0.0558	1.0
theta_pr[1,89]	-0.47	0.00702	0.63	-1.4	-0.6	1.01	8055.0	0.0344	1.0
theta_pr[1,90]	-0.977	0.00781	0.552	-1.78	-1.08	0.372	4997.0	0.0213	1.0
theta_pr[1,91]	0.468	0.00715	0.607	-0.621	0.417	1.71	7211.0	0.0308	1.0
theta_pr[1,92]	-0.2	0.00779	0.705	-1.29	-0.303	1.35	8197.0	0.035	1.0
theta_pr[1,93]	1.65	0.00564	0.687	0.319	1.63	3.01	14818.0	0.0632	1.0
theta_pr[1,94]	-0.784	0.00547	0.524	-1.64	-0.863	0.437	9169.0	0.0391	1.0
theta_pr[1,95]	-1.31	0.00913	0.721	-2.67	-1.37	0.228	6234.0	0.0266	1.0
theta_pr[1,96]	0.673	0.00651	0.724	-0.625	0.619	2.15	12375.0	0.0528	1.0
theta_pr[1,97]	0.785	0.00548	0.645	-0.366	0.745	2.13	13856.0	0.0591	1.0
theta_pr[1,98]	0.516	0.00726	0.617	-0.566	0.459	1.8	7225.0	0.0308	1.0
theta_pr[1,99]	-1.43	0.00707	0.518	-2.31	-1.49	-0.287	5370.0	0.0229	1.0
theta_pr[1,100]	-1.18	0.00746	0.583	-2.17	-1.26	0.162	6105.0	0.0261	1.0
theta_pr[1,101]	0.18	0.0106	0.781	-1.05	0.0744	1.85	5454.0	0.0233	1.0
theta_pr[1,102]	-0.198	0.00779	0.693	-1.26	-0.306	1.34	7899.0	0.0337	1.0
theta_pr[1,103]	-1.06	0.00718	0.554	-1.98	-1.15	0.214	5953.0	0.0254	1.0
theta_pr[1,104]	1.25	0.00598	0.683	-0.0437	1.22	2.62	13023.0	0.0556	1.0
theta_pr[1,105]	-0.61	0.0116	0.753	-1.6	-0.804	1.16	4234.0	0.0181	1.0
theta_pr[1,106]	1.42	0.00661	0.764	-0.0481	1.39	2.92	13370.0	0.0571	1.0
theta_pr[1,107]	-0.104	0.00968	0.754	-1.23	-0.242	1.57	6074.0	0.0259	1.0
theta_pr[1,108]	0.609	0.00512	0.561	-0.388	0.56	1.78	12024.0	0.0513	1.0
theta_pr[1,109]	-0.158	0.00983	0.755	-1.27	-0.294	1.55	5908.0	0.0252	1.0
theta_pr[1,110]	0.0784	0.00651	0.633	-0.919	-0.0246	1.5	9450.0	0.0403	1.0
theta_pr[1,111]	-1.2	0.00765	0.528	-2.19	-1.23	-0.12	4773.0	0.0204	1.0
theta_pr[1,112]	1.17	0.00578	0.648	-0.0405	1.13	2.48	12564.0	0.0536	1.0
theta_pr[1,113]	-0.356	0.00574	0.555	-1.29	-0.431	0.883	9368.0	0.04	1.0
theta_pr[1,114]	0.481	0.00682	0.577	-0.544	0.428	1.69	7154.0	0.0305	1.0
theta_pr[1,115]	-0.193	0.00545	0.53	-1.04	-0.265	1.0	9453.0	0.0403	1.0
theta_pr[1,116]	0.51	0.00588	0.585	-0.55	0.463	1.72	9880.0	0.0422	1.0
theta_pr[1,117]	0.159	0.00725	0.525	-0.759	0.105	1.29	5246.0	0.0224	1.0
theta_pr[1,118]	0.215	0.0101	0.902	-1.3	0.188	1.99	7936.0	0.0339	1.0
theta_pr[1,119]	0.123	0.00536	0.573	-0.857	0.0602	1.35	11447.0	0.0488	1.0
theta_pr[1,120]	0.901	0.00529	0.617	-0.236	0.862	2.15	13590.0	0.058	1.0
theta_pr[1,121]	0.332	0.00662	0.674	-0.825	0.262	1.75	10377.0	0.0443	1.0
theta_pr[1,122]	-0.949	0.0108	0.698	-1.81	-1.14	0.894	4135.0	0.0176	1.0
theta_pr[1,123]	-1.67	0.00824	0.471	-2.43	-1.73	-0.603	3265.0	0.0139	1.0
theta_pr[1,124]	0.544	0.00621	0.687	-0.69	0.503	1.96	12245.0	0.0523	1.0
theta_pr[1,125]	-1.2	0.0198	0.782	-2.02	-1.47	0.997	1555.0	0.00664	1.0
theta_pr[1,126]	-0.496	0.00579	0.465	-1.23	-0.567	0.571	6445.0	0.0275	1.0
theta_pr[1,127]	0.87	0.0059	0.663	-0.325	0.827	2.21	12618.0	0.0538	1.0
theta_pr[1,128]	0.757	0.00541	0.636	-0.393	0.713	2.05	13817.0	0.059	1.0
theta_pr[1,129]	0.381	0.0066	0.726	-0.885	0.315	1.87	12096.0	0.0516	1.0
theta_pr[1,130]	0.0657	0.00705	0.687	-1.13	0.00688	1.5	9507.0	0.0406	1.0
theta_pr[1,131]	0.683	0.00666	0.717	-0.61	0.64	2.13	11570.0	0.0494	1.0
theta_pr[1,132]	-0.713	0.00482	0.408	-1.39	-0.767	0.203	7167.0	0.0306	1.0
theta_pr[1,133]	0.61	0.00756	0.751	-0.842	0.584	2.08	9880.0	0.0422	1.0
theta_pr[1,134]	0.282	0.00633	0.629	-0.802	0.22	1.61	9885.0	0.0422	1.0
theta_pr[1,135]	-1.23	0.00803	0.645	-2.38	-1.3	0.189	6457.0	0.0276	1.0
theta_pr[1,136]	0.305	0.00628	0.619	-0.769	0.25	1.6	9719.0	0.0415	1.0
theta_pr[1,137]	-0.601	0.00912	0.694	-1.5	-0.798	1.11	5788.0	0.0247	1.0
theta_pr[1,138]	-1.6	0.00638	0.455	-2.4	-1.64	-0.635	5085.0	0.0217	1.0
theta_pr[1,139]	-0.257	0.00456	0.489	-1.11	-0.305	0.806	11511.0	0.0491	1.0
theta_pr[1,140]	0.602	0.00566	0.674	-0.641	0.558	1.98	14160.0	0.0604	1.0
theta_pr[1,141]	-0.557	0.0108	0.704	-1.55	-0.736	1.13	4219.0	0.018	1.0
theta_pr[1,142]	0.877	0.00517	0.624	-0.289	0.838	2.13	14578.0	0.0622	1.0
theta_pr[1,143]	-0.7	0.00478	0.44	-1.39	-0.769	0.327	8499.0	0.0363	1.0
theta_pr[1,144]	-0.488	0.00859	0.696	-1.46	-0.657	1.19	6567.0	0.028	1.0
theta_pr[1,145]	-1.06	0.00616	0.484	-1.83	-1.13	0.0845	6165.0	0.0263	1.0
theta_pr[2,1]	1.11	0.00636	0.767	-0.402	1.09	2.59	14557.0	0.0621	1.0
theta_pr[2,2]	-0.444	0.00618	0.442	-1.24	-0.479	0.48	5108.0	0.0218	1.0
theta_pr[2,3]	0.397	0.00611	0.814	-1.12	0.353	2.02	17744.0	0.0757	1.0
theta_pr[2,4]	-0.073	0.00722	0.821	-1.5	-0.154	1.67	12944.0	0.0552	1.0
theta_pr[2,5]	1.29	0.006	0.767	-0.261	1.27	2.76	16306.0	0.0696	1.0
theta_pr[2,6]	0.631	0.00657	0.825	-0.968	0.607	2.24	15781.0	0.0673	1.0
theta_pr[2,7]	0.482	0.00592	0.719	-0.93	0.465	1.88	14749.0	0.0629	1.0
theta_pr[2,8]	-0.681	0.00614	0.593	-1.84	-0.709	0.506	9319.0	0.0398	1.0
theta_pr[2,9]	0.0265	0.00698	0.864	-1.5	-0.0448	1.8	15330.0	0.0654	1.0
theta_pr[2,10]	-0.305	0.00866	0.953	-1.92	-0.402	1.65	12107.0	0.0517	1.0
theta_pr[2,11]	0.781	0.00618	0.761	-0.743	0.762	2.25	15143.0	0.0646	1.0
theta_pr[2,12]	-0.203	0.00894	0.965	-1.82	-0.299	1.73	11660.0	0.0498	1.0
theta_pr[2,13]	-0.567	0.0115	0.933	-2.09	-0.716	1.46	6610.0	0.0282	1.0
theta_pr[2,14]	-0.457	0.0102	1.07	-2.31	-0.52	1.66	11167.0	0.0477	1.0
theta_pr[2,15]	-0.504	0.00977	0.952	-2.07	-0.65	1.49	9492.0	0.0405	1.0
theta_pr[2,16]	0.675	0.00617	0.817	-0.905	0.654	2.26	17540.0	0.0749	1.0
theta_pr[2,17]	-0.0318	0.00663	0.787	-1.48	-0.0928	1.59	14068.0	0.06	1.0
theta_pr[2,18]	-0.0525	0.0109	1.04	-1.77	-0.135	2.03	9057.0	0.0386	1.0
theta_pr[2,19]	0.268	0.00564	0.739	-1.14	0.228	1.75	17154.0	0.0732	1.0
theta_pr[2,20]	0.592	0.00708	0.802	-0.941	0.557	2.18	12814.0	0.0547	1.0
theta_pr[2,21]	-0.384	0.00792	0.633	-1.37	-0.494	1.12	6376.0	0.0272	1.0
theta_pr[2,22]	-0.44	0.00645	0.573	-1.47	-0.496	0.81	7887.0	0.0337	1.0
theta_pr[2,23]	1.03	0.00623	0.782	-0.513	1.01	2.54	15751.0	0.0672	1.0
theta_pr[2,24]	-0.393	0.00676	0.701	-1.71	-0.435	1.04	10755.0	0.0459	1.0
theta_pr[2,25]	0.646	0.00627	0.788	-0.904	0.634	2.17	15820.0	0.0675	1.0
theta_pr[2,26]	0.00915	0.00776	0.908	-1.69	-0.0309	1.79	13695.0	0.0584	1.0
theta_pr[2,27]	-0.392	0.00733	0.861	-1.92	-0.474	1.38	13800.0	0.0589	1.0
theta_pr[2,28]	0.176	0.00627	0.756	-1.24	0.135	1.71	14541.0	0.0621	1.0
theta_pr[2,29]	0.512	0.00608	0.808	-1.05	0.491	2.09	17630.0	0.0752	1.0
theta_pr[2,30]	-0.389	0.00924	0.877	-1.72	-0.578	1.55	9012.0	0.0385	1.0
theta_pr[2,31]	-0.196	0.0078	0.815	-1.52	-0.324	1.57	10926.0	0.0466	1.0
theta_pr[2,32]	-0.843	0.0141	1.04	-2.63	-0.998	1.35	5471.0	0.0233	1.0
theta_pr[2,33]	-0.542	0.00727	0.63	-1.55	-0.645	0.945	7501.0	0.032	1.0
theta_pr[2,34]	0.47	0.00678	0.755	-0.99	0.441	1.95	12418.0	0.053	1.0
theta_pr[2,35]	0.25	0.00997	0.97	-1.47	0.191	2.17	9462.0	0.0404	1.0
theta_pr[2,36]	1.01	0.00605	0.765	-0.51	0.995	2.49	15982.0	0.0682	1.0
theta_pr[2,37]	0.788	0.00653	0.793	-0.79	0.767	2.31	14756.0	0.063	1.0
theta_pr[2,38]	-0.406	0.00926	0.852	-1.97	-0.49	1.41	8465.0	0.0361	1.0
theta_pr[2,39]	-0.441	0.00651	0.427	-1.26	-0.464	0.401	4300.0	0.0184	1.0
theta_pr[2,40]	-0.561	0.0138	1.07	-2.0	-0.877	1.76	6012.0	0.0257	1.0
theta_pr[2,41]	0.176	0.00598	0.714	-1.21	0.146	1.61	14270.0	0.0609	1.0
theta_pr[2,42]	-0.332	0.00872	0.931	-1.88	-0.47	1.64	11397.0	0.0486	1.0
theta_pr[2,43]	0.698	0.00642	0.756	-0.754	0.666	2.18	13844.0	0.0591	1.0
theta_pr[2,44]	0.89	0.00605	0.714	-0.489	0.862	2.3	13965.0	0.0596	1.0
theta_pr[2,45]	0.000875	0.00604	0.642	-1.16	-0.0619	1.36	11304.0	0.0482	1.0
theta_pr[2,46]	-0.386	0.0091	0.886	-1.65	-0.606	1.62	9473.0	0.0404	1.0
theta_pr[2,47]	-0.254	0.00708	0.766	-1.61	-0.324	1.34	11698.0	0.0499	1.0
theta_pr[2,48]	-0.89	0.012	0.744	-1.89	-1.07	1.19	3867.0	0.0165	1.0
theta_pr[2,49]	0.475	0.00622	0.821	-1.08	0.438	2.12	17443.0	0.0744	1.0
theta_pr[2,50]	0.579	0.00619	0.787	-0.978	0.556	2.12	16167.0	0.069	1.0
theta_pr[2,51]	-0.36	0.00945	0.947	-1.87	-0.518	1.66	10044.0	0.0429	1.0
theta_pr[2,52]	0.292	0.0149	1.09	-1.73	0.232	2.43	5376.0	0.0229	1.0
theta_pr[2,53]	-0.5	0.00705	0.746	-1.7	-0.64	1.2	11180.0	0.0477	1.0
theta_pr[2,54]	0.121	0.00713	0.782	-1.33	0.0642	1.72	12026.0	0.0513	1.0
theta_pr[2,55]	0.113	0.00679	0.753	-1.22	0.0412	1.69	12312.0	0.0525	1.0
theta_pr[2,56]	0.91	0.00699	0.787	-0.611	0.891	2.43	12666.0	0.0541	1.0
theta_pr[2,57]	0.638	0.00602	0.857	-1.1	0.624	2.27	20258.0	0.0865	1.0
theta_pr[2,58]	0.391	0.00621	0.866	-1.35	0.387	2.04	19437.0	0.083	1.0
theta_pr[2,59]	-0.276	0.00878	0.933	-1.84	-0.376	1.65	11270.0	0.0481	1.0
theta_pr[2,60]	-0.559	0.0153	1.08	-2.38	-0.695	1.63	4967.0	0.0212	1.0
theta_pr[2,61]	-0.262	0.00975	0.901	-1.66	-0.448	1.73	8531.0	0.0364	1.0
theta_pr[2,62]	0.076	0.00954	1.0	-1.67	0.0261	2.03	10977.0	0.0468	1.0
theta_pr[2,63]	-0.199	0.00958	0.996	-1.87	-0.3	1.8	10798.0	0.0461	1.0
theta_pr[2,64]	0.251	0.00668	0.842	-1.35	0.211	1.91	15868.0	0.0677	1.0
theta_pr[2,65]	1.5	0.00566	0.755	-0.0117	1.49	2.96	17771.0	0.0758	1.0
theta_pr[2,66]	0.176	0.00636	0.866	-1.47	0.137	1.88	18529.0	0.0791	1.0
theta_pr[2,67]	0.483	0.00637	0.672	-0.84	0.459	1.8	11142.0	0.0475	1.0
theta_pr[2,68]	-0.197	0.00792	0.937	-1.92	-0.25	1.66	13972.0	0.0596	1.0
theta_pr[2,69]	-0.192	0.00986	0.938	-1.66	-0.354	1.8	9053.0	0.0386	1.0
theta_pr[2,70]	-0.644	0.0136	1.02	-2.5	-0.723	1.41	5560.0	0.0237	1.0
theta_pr[2,71]	-0.346	0.00837	0.877	-1.79	-0.473	1.55	10982.0	0.0469	1.0
theta_pr[2,72]	-0.501	0.0125	1.09	-2.13	-0.758	1.85	7617.0	0.0325	1.0
theta_pr[2,73]	-0.375	0.011	0.927	-1.74	-0.603	1.74	7057.0	0.0301	1.0
theta_pr[2,74]	-0.313	0.00695	0.817	-1.79	-0.389	1.4	13842.0	0.0591	1.0
theta_pr[2,75]	0.551	0.00644	0.826	-1.04	0.526	2.16	16447.0	0.0702	1.0
theta_pr[2,76]	0.0312	0.00862	0.933	-1.66	-0.0165	1.89	11711.0	0.05	1.0
theta_pr[2,77]	-0.529	0.0116	1.07	-2.26	-0.661	1.66	8604.0	0.0367	1.0
theta_pr[2,78]	-0.0319	0.008	0.819	-1.53	-0.0961	1.64	10476.0	0.0447	1.0
theta_pr[2,79]	0.563	0.00607	0.766	-0.971	0.556	2.04	15904.0	0.0679	1.0
theta_pr[2,80]	0.449	0.00658	0.77	-1.01	0.409	1.95	13684.0	0.0584	1.0
theta_pr[2,81]	-0.189	0.00925	0.939	-1.67	-0.348	1.79	10302.0	0.044	1.0
theta_pr[2,82]	0.34	0.00672	0.757	-1.15	0.321	1.8	12706.0	0.0542	1.0
theta_pr[2,83]	0.00986	0.00665	0.899	-1.67	-0.019	1.77	18286.0	0.078	1.0
theta_pr[2,84]	0.326	0.00898	0.956	-1.45	0.296	2.18	11328.0	0.0483	1.0
theta_pr[2,85]	-0.376	0.0129	1.02	-2.12	-0.495	1.7	6266.0	0.0267	1.0
theta_pr[2,86]	-0.128	0.00942	0.986	-1.83	-0.199	1.81	10953.0	0.0467	1.0
theta_pr[2,87]	0.0945	0.00679	0.786	-1.24	0.00805	1.75	13420.0	0.0573	1.0
theta_pr[2,88]	0.126	0.00611	0.752	-1.31	0.0898	1.63	15157.0	0.0647	1.0
theta_pr[2,89]	-0.214	0.00713	0.798	-1.59	-0.307	1.48	12529.0	0.0535	1.0
theta_pr[2,90]	-0.388	0.00965	0.946	-1.85	-0.55	1.63	9610.0	0.041	1.0
theta_pr[2,91]	-0.803	0.0061	0.6	-1.9	-0.862	0.471	9650.0	0.0412	1.0
theta_pr[2,92]	-0.116	0.00725	0.919	-1.71	-0.199	1.74	16063.0	0.0686	1.0
theta_pr[2,93]	0.587	0.00656	0.834	-1.09	0.571	2.19	16193.0	0.0691	1.0
theta_pr[2,94]	-0.22	0.00852	0.872	-1.65	-0.331	1.59	10467.0	0.0447	1.0
theta_pr[2,95]	-0.574	0.0127	0.947	-2.33	-0.657	1.34	5577.0	0.0238	1.0
theta_pr[2,96]	0.653	0.00553	0.76	-0.823	0.63	2.14	18860.0	0.0805	1.0
theta_pr[2,97]	0.0651	0.00892	0.988	-1.8	0.0371	1.98	12253.0	0.0523	1.0
theta_pr[2,98]	0.268	0.00633	0.646	-0.97	0.228	1.57	10398.0	0.0444	1.0
theta_pr[2,99]	-0.507	0.00679	0.456	-1.41	-0.519	0.394	4518.0	0.0193	1.0
theta_pr[2,100]	-0.348	0.00875	0.897	-1.88	-0.482	1.59	10508.0	0.0448	1.0
theta_pr[2,101]	0.658	0.00718	0.838	-0.973	0.632	2.28	13608.0	0.0581	1.0
theta_pr[2,102]	0.32	0.00609	0.834	-1.26	0.287	1.94	18751.0	0.08	1.0
theta_pr[2,103]	-0.408	0.01	0.896	-1.81	-0.582	1.52	7999.0	0.0341	1.0
theta_pr[2,104]	-0.000908	0.00589	0.706	-1.39	-0.0188	1.39	14372.0	0.0613	1.0
theta_pr[2,105]	-0.146	0.00965	0.958	-1.74	-0.273	1.82	9863.0	0.0421	1.0
theta_pr[2,106]	1.05	0.00742	0.816	-0.586	1.04	2.61	12083.0	0.0516	1.0
theta_pr[2,107]	0.696	0.00667	0.754	-0.728	0.658	2.19	12801.0	0.0546	1.0
theta_pr[2,108]	-0.249	0.00657	0.723	-1.53	-0.328	1.26	12097.0	0.0516	1.0
theta_pr[2,109]	0.392	0.0066	0.8	-1.09	0.349	1.98	14670.0	0.0626	1.0
theta_pr[2,110]	0.356	0.00674	0.841	-1.21	0.314	2.03	15589.0	0.0665	1.0
theta_pr[2,111]	-0.691	0.00784	0.473	-1.66	-0.695	0.19	3630.0	0.0155	1.0
theta_pr[2,112]	0.573	0.00699	0.88	-1.16	0.562	2.26	15860.0	0.0677	1.0
theta_pr[2,113]	-0.293	0.0103	1.03	-1.98	-0.409	1.8	9911.0	0.0423	1.0
theta_pr[2,114]	0.839	0.00664	0.755	-0.595	0.799	2.34	12904.0	0.0551	1.0
theta_pr[2,115]	-0.397	0.00598	0.513	-1.36	-0.428	0.667	7364.0	0.0314	1.0
